"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33687","DJCSS-T83: Verify Acceptance Modal does not reappear for an already-accepted PDF (same year)","Regression Test Suite","2026-09-22","passed","2026-09-22","FAQ Forms","faq\faq-forms.spec.ts","",""
"","17913","DJCSS-T129: Verify unrestricted file upload is rejected on the Help Request tab","Regression Test Suite","2026-09-22","passed","2026-09-22","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","21317","DJCSS-T105: Verify the FAQ URL redirection on FAQ Menu on the Navigation bar","Smoke Test Suite","2026-09-22","passed","2026-09-22","FAQ Navigation","faq\faq-navigation.spec.ts","",""
"","6929","DJCSS-T117: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - Prosegur","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Prosegur","mct-form\mct-form-submission.spec.ts","",""
"","20294","DJCSS-T177: Verify form submission for RC DJCSS RiskJournal","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","4922","DJCSS-T139: Verify the form successfully accepts exactly 3 uploaded files - Arconic","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Arconic","mct-form\mct-form-submission.spec.ts","",""
"","4250","DJCSS-T111: Verify New MCT Article Submission Form - Analog","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
"","25908","Verify search results pagination navigates to the next page of articles","Regression Test Suite","2026-09-22","passed","2026-09-22","FAQ Forms","faq\faq-forms.spec.ts","",""
"","13573","DJCSS-T86: Verify updated Footer Logo on DJCSS","Regression Test Suite","2026-09-22","passed","2026-09-22","Recycle","recycle\recycle.spec.ts","",""
"","19958","DJCSS-T145: Verify Unrestricted Upload of File for MyCompanyTodayForm - Constellium","Regression Test Suite","2026-09-22","failed","2026-09-22","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","8178","DJCSS-T116: Verify New MCT Article Submission Form - Prosegur","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Prosegur","mct-form\mct-form-submission.spec.ts","",""
"","15840","DJCSS-T165: Dragonfly Intelligence product name is updated in Live Chat form","Regression Test Suite","2026-09-22","passed","2026-09-22","Live Chat","live-chat\live-chat.spec.ts","",""
"","6436","DJCSS-T120: Verify the form successfully accepts exactly 3 uploaded files - Prosegur","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Prosegur","mct-form\mct-form-submission.spec.ts","",""
"","5146","DJCSS-T153: Verify addition of new products to the Product Alert list","Regression Test Suite","2026-09-22","passed","2026-09-22","Product Alerts","product-alerts\product-alerts.spec.ts","",""
