"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3414","DJCSS-T134: Verify the form successfully accepts exactly 3 uploaded files - Otsuka","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","31541","DJCSS-T83: Verify Acceptance Modal does not reappear for an already-accepted PDF (same year)","Regression Test Suite","2026-09-23","broken","2026-09-23","FAQ Forms","faq\faq-forms.spec.ts","",""
"","6996","DJCSS-T170b: Verify apidocumentation form submits successfully even when Product is left unselected","Regression Test Suite","2026-09-23","passed","2026-09-23","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","3902","DJCSS-T145: Verify Unrestricted Upload of File for MyCompanyTodayForm - Constellium","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","3128","DJCSS-T144: Verify the form successfully accepts exactly 3 uploaded files - Constellium","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","14571","DJCSS-T86: Verify updated Footer Logo on DJCSS","Regression Test Suite","2026-09-23","passed","2026-09-23","Recycle","recycle\recycle.spec.ts","",""
"","21150","DJCSS-T175: Verify form submission for RC DJCSS Global Risk Monitor","Regression Test Suite","2026-09-23","passed","2026-09-23","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","21195","Verify the Help Request form can be filled and submitted successfully on a mobile viewport","Regression Test Suite","2026-09-23","passed","2026-09-23","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","47880","DJCSS-T90: Verify updated logo on Factiva Product Update email template","Regression Test Suite","2026-09-23","passed","2026-09-23","Recycle","recycle\recycle.spec.ts","",""
"","21261","DJCSS-T179: Verify form submission for RC DJCSS Trade Compliance","Regression Test Suite","2026-09-23","passed","2026-09-23","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","20765","DJCSS-T105: Verify the FAQ URL redirection on FAQ Menu on the Navigation bar","Smoke Test Suite","2026-09-23","passed","2026-09-23","FAQ Navigation","faq\faq-navigation.spec.ts","",""
"","18533","DJCSS-T129: Verify unrestricted file upload is rejected on the Help Request tab","Regression Test Suite","2026-09-23","passed","2026-09-23","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","2887","DJCSS-T120: Verify the form successfully accepts exactly 3 uploaded files - Prosegur","Regression Test Suite","2026-09-23","passed","2026-09-23","MCT Form Submission > Prosegur","mct-form\mct-form-submission.spec.ts","",""
